[INFO ] [2021-03-09 22:12:32,895] MenuItems [AboutUs] - Step 01: Accept Privacy and Cookies
[INFO ] [2021-03-09 22:12:33,552] MenuItems [AboutUs] - Step 02: Click to 'About Us' Link
[INFO ] [2021-03-09 22:12:38,135] MenuItems [AboutUs] - Step 03: Verify 'Current Page Title' is displayed with value 'About Us | Sytner Group'
[INFO ] [2021-03-09 22:12:38,150]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-09 22:12:38,150] MenuItems [AboutUs] - Step 04: Verify 'Current Page URL' is displayed with value 'https://www.sytner.co.uk/about-us/'
[INFO ] [2021-03-09 22:12:38,157]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-09 22:12:38,260] MenuItems [News] - Step 01: Back to 'Home Page'
[INFO ] [2021-03-09 22:12:39,027] MenuItems [News] - Step 02: Click to 'News' Link
[INFO ] [2021-03-09 22:12:42,356] MenuItems [News] - Step 03: Verify 'Current Page Title' is displayed with value 'Latest News | About Us | Sytner Group'
[INFO ] [2021-03-09 22:12:42,360]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-09 22:12:42,360] MenuItems [News] - Step 04: Verify 'Current Page URL' is displayed with value 'https://www.sytner.co.uk/news/'
[INFO ] [2021-03-09 22:12:42,363]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-09 22:12:42,366] MenuItems [Customer Service] - Step 01: Back to 'Home Page'
[INFO ] [2021-03-09 22:12:43,466] MenuItems [Customer Service] - Step 02: Click to 'Customer Service' Link
[INFO ] [2021-03-09 22:12:45,234] MenuItems [Customer Service] - Step 03: Verify 'Current Page Title' is displayed with value 'Customer Service | Sytner Group'
[INFO ] [2021-03-09 22:12:45,237]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-09 22:12:45,237] MenuItems [Customer Service] - Step 04: Verify 'Current Page URL' is displayed with value 'https://www.sytner.co.uk/customer-service/'
[INFO ] [2021-03-09 22:12:45,240]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-09 22:12:45,243] MenuItems [Finance] - Step 01: Back to 'Home Page'
[INFO ] [2021-03-09 22:12:46,313] MenuItems [Finance] - Step 02: Click to 'Finance' Link
[INFO ] [2021-03-09 22:12:48,258] MenuItems [Finance] - Step 03: Verify 'Current Page Title' is displayed with value 'Finance | Across the U.K | Sytner Group'
[INFO ] [2021-03-09 22:12:48,261]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-09 22:12:48,262] MenuItems [Finance] - Step 04: Verify 'Current Page URL' is displayed with value 'https://www.sytner.co.uk/finance/'
[INFO ] [2021-03-09 22:12:48,264]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-09 22:12:48,267] MenuItems [Car Search] - Step 01: Back to 'Home Page'
[INFO ] [2021-03-09 22:12:49,375] MenuItems [Car Search] - Step 02: Click to 'Car Search' Link
[INFO ] [2021-03-09 22:12:58,403] MenuItems [Car Search] - Step 03: Verify 'Current Page Title' is displayed with value 'Sytner Vehicle Search'
[INFO ] [2021-03-09 22:12:58,408]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-09 22:12:58,408] MenuItems [Car Search] - Step 04: Verify 'Current Page URL' is displayed with value 'https://supersearch.sytner.co.uk/#/'
[INFO ] [2021-03-09 22:12:58,412]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-09 22:12:58,416] MenuItems [New Cars] - Step 01: Back to 'Home Page'
[INFO ] [2021-03-09 22:12:59,216] MenuItems [New Cars] - Step 02: Click to 'New Cars' Link
[INFO ] [2021-03-09 22:13:00,903] MenuItems [New Cars] - Step 03: Verify 'Current Page Title' is displayed with value'New Cars | Sytner Group'
[INFO ] [2021-03-09 22:13:00,908]  -------------------------- PASSED -------------------------- 
